meter_ref_no,cnic,consumer_name,installation_address,city,province,date,connection_type,sanctioned_load_kw,avg_monthly_bill_pkr,billing_month,billing_year,provider_disco
K-56253711,54400-1000156-2,F. Mirza,"House 492, Street 10, Clifton, Karachi",Karachi,Sindh,2021-09-04,Residential,50,68680,3,2021,K-Electric
QESCO-78362430,54400-1001909-3,Rabia Noor,"House 937, Street 35, Samungli Road, Quetta",Quetta,Balochistan,2024-03-04,Residential,50,5073,3,2024,QESCO
K-36898582,54400-1001580-0,Usman Malik Sahib,"House 457, Street 22, DHA Phase 6, Karachi",Karachi,Sindh,2024-10-25,Residential,5,4776,11,2024,K-Electric
FESCO-31612545,45501-1001142-4,Chaudhry Muneeb Akhtar,"House 123, Street 6, Canal Road, Faisalabad",Faisalabad,Punjab,2016-07-20,Residential,50,73164,6,2016,FESCO
HESCO-15585223,45501-1001702-4,Muneeb Akhtar,"House 612, Street 25, Saddar, Hyderabad",Hyderabad,Sindh,2023-09-23,Residential,5,17402,4,2023,HESCO
PESCO-62803211,61101-1001564-8,Laiba Khan,"House 753, Street 9, Saddar, Peshawar",Peshawar,KPK,2022-06-05,Commercial,50,69922,10,2022,PESCO
GEPCO-50001683,35202-1000026-2,M. Malik,"House 391, Street 16, Satellite Town, Gujranwala",Gujranwala,Punjab,2018-10-24,Industrial,10,540996,5,2018,GEPCO
LESCO-70245397,45501-1001245-5,I. Siddiqui,"House 383, Street 34, Gulberg, Lahore",Lahore,Punjab,2022-12-20,Residential,5,62074,10,2022,LESCO
LESCO-59287282,45501-1001245-5,Imran Siddiqui,"House 383, Street 34, Gulberg, Lahore",Lahore,Punjab,2024-06-07,Residential,5,72231,11,2024,LESCO
QESCO-10544117,35202-1000354-8,Bilal Ahmed Sahib,"House 107, Street 15, Brewery Road, Quetta",Quetta,Balochistan,2026-02-22,Residential,25,54309,10,2026,QESCO
QESCO-72763636,35202-1000354-8,Bilal Ahmed,"House 107, Street 15, Brewery Road, Quetta",Quetta,Balochistan,2017-02-01,Residential,5,57965,1,2017,QESCO
GEPCO-98554228,61101-1001993-1,Chaudhry Shazia Butt,"House 808, Street 1, Peoples Colony, Gujranwala",Gujranwala,Punjab,2016-10-01,Residential,5,20333,1,2016,GEPCO
GEPCO-92434354,61101-1001993-1,Shazia Butt,"House 808, Street 1, Peoples Colony, Gujranwala",Gujranwala,Punjab,2019-01-02,Commercial,10,201858,3,2019,GEPCO
IESCO-73366583,45501-1000358-6,Chaudhry Fatima Ali,"House 722, Street 6, PWD, Rawalpindi",Rawalpindi,Punjab,2021-10-06,Commercial,25,119915,5,2021,IESCO
IESCO-59274071,45501-1000358-6,Chaudhry Fatima Ali,"House 722, Street 6, PWD, Rawalpindi",Rawalpindi,Punjab,2024-03-09,Residential,7,21529,7,2024,IESCO
PESCO-11290559,61101-1001529-3,Laiba Khan,"House 973, Street 35, Warsak Road, Peshawar",Peshawar,KPK,2024-08-05,Residential,25,16528,9,2024,PESCO
IESCO-24638854,42101-1000259-3,N. Aslam,"House 111, Street 19, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2025-05-26,Residential,15,57880,4,2025,IESCO
HESCO-93410509,61101-1001672-4,A. Baig,"House 515, Street 24, Auto Bhan, Hyderabad",Hyderabad,Sindh,2019-06-14,Residential,5,59525,2,2019,HESCO
IESCO-17343374,17301-1001266-2,Hamza Sheikh,"House 656, Street 26, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2026-11-17,Residential,25,44041,2,2026,IESCO
SEPCO-19306820,42101-1001324-8,Nida Hussain,"House 341, Street 23, Rohri, Sukkur",Sukkur,Sindh,2018-06-25,Residential,50,45672,12,2018,SEPCO
IESCO-59924090,17301-1001530-0,Sara Ahmed,"House 531, Street 20, Saddar, Rawalpindi",Rawalpindi,Punjab,2026-01-17,Residential,7,11827,2,2026,IESCO
IESCO-80046460,17301-1001530-0,Chaudhry Sara Ahmed,"House 531, Street 20, Saddar, Rawalpindi",Rawalpindi,Punjab,2022-01-04,Commercial,10,397258,4,2022,IESCO
MEPCO-77696672,33100-1000371-7,T. Hussain,"House 109, Street 31, Cantt, Multan",Multan,Punjab,2018-12-19,Residential,15,5693,11,2018,MEPCO
PESCO-79388727,17301-1001782-4,K. Malik,"House 791, Street 11, University Road, Peshawar",Peshawar,KPK,2024-03-08,Residential,5,23644,10,2024,PESCO
GEPCO-66022177,33100-1001692-4,Umer Farooq Sahib,"House 842, Street 10, Wapda Town, Gujranwala",Gujranwala,Punjab,2024-03-03,Industrial,25,845827,2,2024,GEPCO
FESCO-73577905,17301-1000815-5,Z. Ahmed,"House 293, Street 8, Canal Road, Faisalabad",Faisalabad,Punjab,2023-04-02,Residential,50,44218,5,2023,FESCO
FESCO-25725624,17301-1000815-5,Z. Ahmed,"House 293, Street 8, Canal Road, Faisalabad",Faisalabad,Punjab,2020-11-26,Residential,7,47723,4,2020,FESCO
K-87492097,33100-1000449-3,Nida Hussain,"House 162, Street 17, Clifton, Karachi",Karachi,Sindh,2024-10-09,Commercial,25,212222,5,2024,K-Electric
PESCO-86977135,33100-1001547-9,Chaudhry Ayesha Khan,"House 18, Street 12, Gulbahar, Peshawar",Peshawar,KPK,2016-07-26,Commercial,15,257947,6,2016,PESCO
GEPCO-20079640,33100-1000825-5,I. Siddiqui,"House 869, Street 10, Satellite Town, Gujranwala",Gujranwala,Punjab,2025-06-20,Residential,25,49045,4,2025,GEPCO
GEPCO-33213473,33100-1000825-5,Imran Siddiqui,"House 869, Street 10, Satellite Town, Gujranwala",Gujranwala,Punjab,2026-02-04,Residential,25,33159,6,2026,GEPCO
K-80666226,33100-1001520-0,D. Butt,"House 421, Street 18, DHA Phase 6, Karachi",Karachi,Sindh,2017-04-10,Residential,50,64155,10,2017,K-Electric
QESCO-69346368,42101-1000920-0,Zainab Ahmed,"House 962, Street 8, Brewery Road, Quetta",Quetta,Balochistan,2024-12-11,Commercial,15,269581,12,2024,QESCO
QESCO-75361295,42101-1000920-0,Chaudhry Zainab Ahmed,"House 962, Street 8, Brewery Road, Quetta",Quetta,Balochistan,2021-01-15,Residential,25,54194,12,2021,QESCO
GEPCO-96114203,61101-1000798-6,Kamran Qureshi,"House 398, Street 35, Civil Lines, Gujranwala",Gujranwala,Punjab,2020-09-22,Residential,3,13339,8,2020,GEPCO
FESCO-78856322,61101-1001888-6,Shazia Butt,"House 188, Street 29, People Colony, Faisalabad",Faisalabad,Punjab,2025-05-09,Residential,15,63118,7,2025,FESCO
K-14128320,33100-1001955-5,Huma Ghani,"House 536, Street 9, Nazimabad, Karachi",Karachi,Sindh,2024-08-28,Commercial,5,230634,7,2024,K-Electric
SEPCO-13596672,35202-1001224-8,A. Chaudhry,"House 580, Street 22, Rohri, Sukkur",Sukkur,Sindh,2026-03-20,Residential,50,14996,6,2026,SEPCO
QESCO-64521298,33100-1000940-0,Huma Ghani Sahib,"House 227, Street 25, Samungli Road, Quetta",Quetta,Balochistan,2024-01-06,Residential,3,38250,9,2024,QESCO
HESCO-95565819,61101-1001586-2,Saad Qureshi,"House 948, Street 17, Hussainabad, Hyderabad",Hyderabad,Sindh,2017-11-16,Residential,25,5175,7,2017,HESCO
SEPCO-93628769,42101-1001137-9,Maham Tariq Sahib,"House 114, Street 15, Military Road, Sukkur",Sukkur,Sindh,2025-11-23,Commercial,50,258816,5,2025,SEPCO
LESCO-77454758,61101-1001824-8,Bilal Ahmed,"House 742, Street 29, Bahria Town, Lahore",Lahore,Punjab,2016-12-02,Commercial,25,204756,10,2016,LESCO
PESCO-60351769,17301-1001056-2,H. Sheikh,"House 85, Street 35, Gulbahar, Peshawar",Peshawar,KPK,2019-07-01,Residential,10,3658,4,2019,PESCO
MEPCO-57859374,54400-1000008-6,Fatima Ali,"House 830, Street 31, Bosan Road, Multan",Multan,Punjab,2016-01-18,Industrial,50,293816,5,2016,MEPCO
GEPCO-43332374,42101-1001603-1,Kamran Qureshi,"House 692, Street 13, Civil Lines, Gujranwala",Gujranwala,Punjab,2024-11-07,Residential,7,31444,4,2024,GEPCO
