cnic,vehicle_reg_no,owner_name,engine_capacity_cc,vehicle_make_model,registration_year,owner_address
52445-3530829-7,REG-2500,J. Miller,1800,Suzuki Cultus,2022,"House 75, Johar Town, Lahore"
57931-1973060-9,REG-9205,M. Taylor,1300,Toyota Yaris,2010,"Plot 39, DHA, Rawalpindi"
64810-2171979-4,REG-6930,Chaudhry Crystal Herrera,1800,Toyota Corolla,2025,"House 565, Gulberg, Lahore"
84115-3077052-4,REG-7675,Chaudhry Eric Kaiser,1800,Honda City,2011,"House 591, Johar Town, Rawalpindi"
16499-4709137-1,REG-2502,Chaudhry John Villarreal Jr.,660,KIA Sportage,2014,"Plot 297, Gulberg, Karachi"
80868-2976225-5,REG-1248,Natasha Farmer,660,Audi A6,2017,"Plot 106, Johar Town, Karachi"
58810-2634613-9,REG-6175,Valerie A. Baker,1300,Honda City,2021,"House 578, DHA, Karachi"
75066-9920785-7,REG-5314,Mr. Mrs. Taylor Evans,1000,Honda City,2022,"Flat 477, Johar Town, Rawalpindi"
57393-6029255-4,REG-1632,Mr. A. Nichols,1300,Honda City,2019,"Plot 716, Bahria Town, Lahore"
85290-6037344-9,REG-3624,J. Miller,2700,KIA Sportage,2023,"Kothi 897, Model Town, Rawalpindi"
47740-2228106-2,REG-2896,D. Cortez,1800,Suzuki Alto,2021,"Kothi 169, Model Town, Karachi"
74089-8074924-1,REG-8647,Mr. Jonathan Warren MD,1300,Honda City,2013,"House 783, Johar Town, Islamabad"
54580-6875018-8,REG-3439,Mr. Ricky Bailey,1000,Suzuki Cultus,2017,"Kothi 71, DHA, Islamabad"
72141-2090518-1,REG-3139,Mr. Brandon Cruz,1300,Honda City,2020,"Flat 663, Johar Town, Rawalpindi"
47302-7472506-6,REG-9152,Chaudhry Erin Mccall,1800,Suzuki Alto,2015,"House 964, Gulberg, Islamabad"
32026-2964541-8,REG-1605,Brittany Bean,1000,Honda City,2022,"House 224, Model Town, Karachi"
42455-7675615-7,REG-4051,Mr. Joshua King,660,Toyota Land Cruiser,2011,"Kothi 83, Bahria Town, Rawalpindi"
62644-5661367-3,REG-8828,Justin A. Russo,660,Honda City,2016,"Kothi 885, Johar Town, Islamabad"
64433-7019181-7,REG-4107,James A. Wheeler,2700,Toyota Corolla,2023,"Plot 155, DHA, Karachi"
29830-4891590-4,REG-9495,Thomas A. Lopez,3400,Honda City,2010,"House 497, Johar Town, Karachi"
44438-5730012-1,REG-4706,J. Ward,1000,Suzuki Cultus,2025,"Plot 430, Johar Town, Islamabad"
89929-6345416-3,REG-1136,Mr. Jacqueline Stafford,3400,KIA Sportage,2017,"House 468, Johar Town, Rawalpindi"
62175-7693754-7,REG-2546,J. Jones,1000,Honda City,2016,"House 494, Gulberg, Lahore"
34983-2129905-4,REG-5101,David Cannon,660,Suzuki Alto,2016,"Kothi 167, DHA, Islamabad"
88738-1882072-2,REG-3024,Omar A. Sutton,660,Toyota Yaris,2015,"House 581, Bahria Town, Lahore"
57659-1427833-2,REG-5894,Mr. Madeline Brown,660,Toyota Yaris,2025,"Plot 629, Gulberg, Karachi"
93153-5232182-6,REG-6499,C. Craig,660,Suzuki Alto,2018,"Flat 486, DHA, Lahore"
73972-8818005-8,REG-6223,Chaudhry Terry Hughes,2700,Suzuki Alto,2022,"Kothi 320, DHA, Karachi"
23393-6748475-5,REG-3885,John Prince,2700,Toyota Corolla,2012,"Kothi 849, Bahria Town, Lahore"
36897-9862688-6,REG-1892,Matthew A. Robinson,3400,Honda Civic,2025,"Plot 707, Johar Town, Lahore"
79220-6001115-2,REG-8934,J. Rodriguez,1000,Suzuki Alto,2024,"Flat 531, Model Town, Karachi"
56621-4737842-9,REG-7239,M. Bradley,1300,Suzuki Cultus,2014,"Flat 652, Bahria Town, Karachi"
41377-7722368-4,REG-1316,S. Porter,3400,Toyota Yaris,2013,"Plot 531, Gulberg, Islamabad"
13798-1468706-5,REG-5435,Bruce A. II,1000,Honda City,2015,"Kothi 266, Bahria Town, Islamabad"
68619-6863966-6,REG-5992,Chaudhry Mary Smith,1800,Honda City,2022,"House 226, DHA, Karachi"
71614-4300181-6,REG-6940,C. Williams,1800,Suzuki Cultus,2015,"Plot 495, Johar Town, Lahore"
72845-6771478-2,REG-9293,Chaudhry Heather Kidd,1000,Honda City,2019,"House 932, Gulberg, Karachi"
72656-3995097-7,REG-2290,Heather Banks,1800,Suzuki Alto,2011,"Flat 89, Gulberg, Rawalpindi"
62610-2424708-3,REG-4923,Julie Christensen,1800,Honda Civic,2025,"Plot 131, DHA, Karachi"
87438-8807342-3,REG-7739,Mr. Justin Rogers,2700,KIA Sportage,2016,"Kothi 674, Model Town, Karachi"
81913-3197544-1,REG-4251,Logan A. Schroeder,1000,Suzuki Cultus,2022,"House 819, DHA, Karachi"
66860-4268292-4,REG-6496,Joseph A. Adkins,660,Toyota Yaris,2015,"House 258, Bahria Town, Islamabad"
75688-5035581-6,REG-1553,Lindsey A. Holt,1800,Honda City,2025,"Flat 558, Gulberg, Karachi"
17982-6935510-8,REG-9419,Christine A. Barton,660,KIA Sportage,2017,"Kothi 847, Johar Town, Karachi"
79707-3547391-9,REG-1656,Mr. Madeline Torres,3400,Honda Civic,2018,"House 894, Gulberg, Karachi"
89764-1065976-3,REG-5898,S. Holland,2700,Suzuki Alto,2014,"Plot 145, Gulberg, Lahore"
82938-2036081-6,REG-4967,Chaudhry Christopher Thomas,1000,KIA Sportage,2025,"Kothi 804, DHA, Lahore"
42570-4209584-5,REG-4683,Chaudhry Nicholas Baker,1800,Suzuki Alto,2022,"House 791, DHA, Rawalpindi"
83626-1467509-2,REG-1419,Virginia A. Chaney,3400,Honda City,2020,"Kothi 334, Johar Town, Karachi"
46331-8589103-9,REG-3726,A. Carter,3400,Suzuki Alto,2017,"Kothi 520, Bahria Town, Islamabad"
83336-4398871-8,REG-7558,S. Moody,1000,Honda Civic,2011,"Plot 427, DHA, Rawalpindi"
67949-6301261-2,REG-1501,Chaudhry Adam Prince,3400,Suzuki Alto,2015,"Plot 439, DHA, Karachi"
97749-6079806-2,REG-7573,Chaudhry Lindsay Welch,1000,Suzuki Alto,2011,"Plot 963, Model Town, Karachi"
43175-3302750-8,REG-5475,Chaudhry Michael Austin,1300,Suzuki Alto,2012,"Plot 765, DHA, Rawalpindi"
73866-3731249-4,REG-6781,Mr. Michael Murray,660,Suzuki Cultus,2022,"Plot 724, Gulberg, Rawalpindi"
54448-8067846-4,REG-5529,Chaudhry Sharon Preston,1300,Suzuki Alto,2013,"Flat 327, DHA, Islamabad"
12553-6670358-9,REG-6873,Mr. Jacob Mcconnell,1000,Suzuki Cultus,2025,"Kothi 452, DHA, Rawalpindi"
