fbr_id,cnic,full_name,reported_address,city,province,date,fiscal_year,declared_income_pkr,tax_paid_pkr,filer_status,declared_assets_pkr,income_source
FBR-2022-778781,42101-1000248-6,Hassan Khan Sahib,"House 896, Street 6, Cantt, Quetta",Quetta,Balochistan,2022-02-13,2022,7185997,482911,Late-Filer,639952,Unknown
FBR-2020-496201,42101-1001654-8,Sana Iqbal,"House 291, Street 34, Gulberg, Faisalabad",Faisalabad,Punjab,2020-09-07,2020,4497506,439641,Filer,590262,Rental
FBR-2018-610974,33100-1000970-0,Sara Ahmed Sahib,"House 755, Street 2, Bahria Enclave, Islamabad",Islamabad,Islamabad,2018-09-27,2018,1589051,115275,Filer,529518,Freelance
FBR-2024-140814,42101-1000968-6,Asad Iqbal,"House 353, Street 2, Gulberg, Faisalabad",Faisalabad,Punjab,2024-03-02,2024,1192835,142058,Filer,2459523,Unknown
FBR-2024-704396,35202-1000747-9,Chaudhry Umer Farooq,"House 193, Street 8, Saddar, Peshawar",Peshawar,KPK,2024-09-04,2024,671712,73356,Late-Filer,514236,Business
FBR-2023-449939,42101-1001137-9,Chaudhry Maham Tariq,"House 114, Street 15, Military Road, Sukkur",Sukkur,Sindh,2023-10-25,2023,489914,1318,Non-Filer,751206,Salary
FBR-2016-817294,35202-1001508-6,Hassan Khan,"House 603, Street 10, Wapda Town, Gujranwala",Gujranwala,Punjab,2016-08-05,2016,1579217,6315,Non-Filer,531596,Rental
FBR-2021-895107,33100-1000651-7,Taha Hussain Sahib,"House 925, Street 11, Auto Bhan, Hyderabad",Hyderabad,Sindh,2021-02-20,2021,720733,83104,Filer,470445,Freelance
FBR-2019-540870,45501-1001377-9,Chaudhry Umer Farooq,"House 976, Street 3, Chaklala, Rawalpindi",Rawalpindi,Punjab,2019-07-17,2019,1668640,216310,Filer,1839802,Salary
FBR-2024-847140,61101-1001237-9,Umer Farooq,"House 160, Street 32, Saddar, Peshawar",Peshawar,KPK,2024-03-27,2024,625280,28699,Filer,236644,Salary
FBR-2019-238969,54400-1001896-2,Chaudhry Hamza Sheikh,"House 710, Street 3, DHA Phase 5, Lahore",Lahore,Punjab,2019-06-27,2019,22351508,100661,Non-Filer,20499269,Salary
FBR-2023-420375,33100-1001632-4,Muneeb Akhtar,"House 557, Street 27, Bahadurabad, Karachi",Karachi,Sindh,2023-07-24,2023,23843581,2082967,Filer,11411258,Rental
FBR-2019-109256,61101-1000336-2,T. Hussain,"House 105, Street 26, Bahadurabad, Karachi",Karachi,Sindh,2019-04-26,2019,656216,55579,Filer,519808,Business
FBR-2022-913026,45501-1001468-6,Chaudhry Shazia Butt,"House 684, Street 13, Model Town, Lahore",Lahore,Punjab,2022-08-26,2022,1554505,6231,Non-Filer,2101824,Freelance
FBR-2026-469559,45501-1001027-9,Umer Farooq,"House 546, Street 9, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2026-06-29,2026,6576357,6382,Non-Filer,10242699,Unknown
FBR-2020-733101,42101-1001577-9,A. Raza,"House 940, Street 8, University Road, Peshawar",Peshawar,KPK,2020-05-26,2020,3198251,249431,Filer,2956060,Salary
FBR-2020-755642,61101-1001827-9,Ayesha Khan Sahib,"House 962, Street 12, Gulberg, Lahore",Lahore,Punjab,2020-12-27,2020,2065154,6132,Non-Filer,2233495,Salary
FBR-2019-154304,17301-1001810-0,Sara Ahmed Sahib,"House 759, Street 6, DHA Phase 2, Islamabad",Islamabad,Islamabad,2019-02-26,2019,1122775,86086,Filer,960803,Salary
FBR-2019-691465,33100-1001998-6,Hassan Khan,"House 957, Street 1, DHA Phase 2, Islamabad",Islamabad,Islamabad,2019-11-22,2019,4158885,12183,Non-Filer,3183653,Rental
FBR-2017-774822,61101-1000341-7,M. Malik,"House 602, Street 4, Hayatabad, Peshawar",Peshawar,KPK,2017-09-07,2017,469220,4454,Late-Filer,226909,Business
FBR-2016-510947,17301-1000634-8,Bilal Ahmed,"House 832, Street 1, Model Town, Gujranwala",Gujranwala,Punjab,2016-10-16,2016,6057284,15297,Non-Filer,4151255,Business
FBR-2018-101620,54400-1001277-9,Maham Tariq,"House 130, Street 15, F-10, Islamabad",Islamabad,Islamabad,2018-01-28,2018,597322,1878,Filer,748845,Rental
FBR-2022-386578,45501-1001209-3,R. Noor,"House 581, Street 33, Hussainabad, Hyderabad",Hyderabad,Sindh,2022-08-18,2022,1429123,50237,Filer,692309,Agriculture
FBR-2022-724099,45501-1001642-4,Chaudhry Khalid Malik,"House 355, Street 7, Bahria Town, Lahore",Lahore,Punjab,2022-04-12,2022,4911518,345090,Filer,5820505,Agriculture
FBR-2023-146480,17301-1000695-5,H. Ghani,"House 887, Street 25, Auto Bhan, Hyderabad",Hyderabad,Sindh,2023-03-29,2023,2140254,5541,Non-Filer,114011,Unknown
FBR-2018-440123,45501-1000125-5,Imran Siddiqui,"House 814, Street 22, Barrage Road, Sukkur",Sukkur,Sindh,2018-11-23,2018,506247,1875,Filer,1068629,Freelance
FBR-2019-812533,33100-1000878-6,Hassan Khan,"House 879, Street 15, New Pind, Sukkur",Sukkur,Sindh,2019-02-06,2019,2473059,129233,Filer,2341925,Business
FBR-2018-543047,54400-1000074-8,B. Ahmed,"House 639, Street 2, DHA Multan, Multan",Multan,Punjab,2018-02-16,2018,1265249,39636,Filer,1548944,Freelance
FBR-2023-261030,54400-1000429-3,S. Iqbal,"House 98, Street 12, Gulberg, Lahore",Lahore,Punjab,2023-01-19,2023,6035282,707521,Filer,5946202,Agriculture
FBR-2018-960527,61101-1001712-4,K. Malik,"House 719, Street 26, F-10, Islamabad",Islamabad,Islamabad,2018-08-19,2018,460975,1547,Non-Filer,912052,Salary
FBR-2020-707202,45501-1000127-9,Chaudhry Muneeb Akhtar,"House 191, Street 7, Warsak Road, Peshawar",Peshawar,KPK,2020-05-07,2020,550242,2063,Filer,500205,Business
FBR-2020-816545,35202-1001980-0,Imran Siddiqui,"House 176, Street 13, Clifton, Karachi",Karachi,Sindh,2020-02-17,2020,550771,2111,Non-Filer,569945,Salary
FBR-2026-528242,33100-1001522-4,Maham Tariq,"House 999, Street 6, DHA Phase 2, Islamabad",Islamabad,Islamabad,2026-05-01,2026,728397,88079,Filer,931141,Agriculture
FBR-2017-116133,35202-1000518-6,K. Qureshi,"House 734, Street 6, Civil Lines, Gujranwala",Gujranwala,Punjab,2017-06-19,2017,1480144,2354,Non-Filer,578181,Business
FBR-2020-110235,61101-1000990-0,Zainab Ahmed,"House 260, Street 29, Latifabad, Hyderabad",Hyderabad,Sindh,2020-01-10,2020,756159,1865,Non-Filer,407430,Salary
FBR-2021-753578,33100-1000449-3,Chaudhry Nida Hussain,"House 162, Street 17, Clifton, Karachi",Karachi,Sindh,2021-10-09,2021,5853878,26868,Non-Filer,13287216,Business
FBR-2017-388734,35202-1001874-8,R. Noor,"House 66, Street 16, G-11, Islamabad",Islamabad,Islamabad,2017-03-28,2017,456382,2621,Filer,277898,Agriculture
FBR-2020-652182,35202-1000489-3,Chaudhry Amna Chaudhry,"House 62, Street 26, DHA Multan, Multan",Multan,Punjab,2020-09-23,2020,1222730,76779,Filer,1684039,Rental
FBR-2021-203589,54400-1001928-6,Hassan Khan,"House 546, Street 14, D Ground, Faisalabad",Faisalabad,Punjab,2021-07-10,2021,4201300,141760,Filer,919880,Agriculture
FBR-2018-189528,42101-1000312-4,Khalid Malik,"House 997, Street 28, Hayatabad, Peshawar",Peshawar,KPK,2018-11-18,2018,2669998,149329,Filer,5434810,Salary
FBR-2023-565016,17301-1001120-0,Waseem Akram,"House 952, Street 32, Hussainabad, Hyderabad",Hyderabad,Sindh,2023-10-27,2023,590414,170,Filer,727188,Freelance
FBR-2022-248436,45501-1000247-9,Ali Raza Sahib,"House 319, Street 17, Satellite Town, Gujranwala",Gujranwala,Punjab,2022-10-22,2022,22318396,852708,Filer,1546882,Agriculture
FBR-2016-845913,35202-1000061-7,Chaudhry Mariam Malik,"House 299, Street 34, Jinnah Town, Quetta",Quetta,Balochistan,2016-02-12,2016,355534,3602,Filer,167176,Business
FBR-2026-151110,45501-1001332-4,Ali Raza,"House 971, Street 22, Civil Lines, Gujranwala",Gujranwala,Punjab,2026-08-16,2026,568158,1542,Filer,255832,Salary
FBR-2016-704453,54400-1001000-0,I. Siddiqui,"House 167, Street 27, Saddar, Rawalpindi",Rawalpindi,Punjab,2016-06-01,2016,6108662,547948,Filer,6969979,Freelance
FBR-2023-625664,61101-1001953-1,Kamran Qureshi,"House 89, Street 27, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2023-10-30,2023,1602216,203927,Filer,1336834,Unknown
FBR-2017-397409,17301-1001598-6,A. Iqbal,"House 567, Street 8, Cantt, Quetta",Quetta,Balochistan,2017-02-01,2017,825205,41428,Filer,570183,Salary
FBR-2020-297929,17301-1001476-2,Hamza Sheikh Sahib,"House 466, Street 29, Jinnah Town, Quetta",Quetta,Balochistan,2020-09-10,2020,3448363,1039,Non-Filer,1942919,Rental
FBR-2021-496391,17301-1000948-6,Hassan Khan,"House 930, Street 2, Saddar, Hyderabad",Hyderabad,Sindh,2021-02-13,2021,1128462,3714,Non-Filer,456667,Freelance
FBR-2026-228682,61101-1000089-3,R. Noor,"House 368, Street 21, Military Road, Sukkur",Sukkur,Sindh,2026-11-16,2026,3170252,6166,Non-Filer,1481035,Salary
FBR-2018-285999,42101-1000902-4,A. Baig,"House 774, Street 12, Nazimabad, Karachi",Karachi,Sindh,2018-03-28,2018,3465370,367115,Filer,6096984,Rental
FBR-2022-246876,42101-1001933-1,Fatima Ali,"House 540, Street 26, Chaklala, Rawalpindi",Rawalpindi,Punjab,2022-04-01,2022,28313871,123910,Non-Filer,77126973,Freelance
FBR-2025-415413,33100-1000687-9,Muneeb Akhtar,"House 300, Street 7, Cantt, Multan",Multan,Punjab,2025-06-26,2025,1299273,3411,Non-Filer,232944,Agriculture
FBR-2016-178536,54400-1001075-5,Sara Ahmed,"House 96, Street 33, Military Road, Sukkur",Sukkur,Sindh,2016-02-24,2016,1668504,70125,Filer,649829,Agriculture
FBR-2021-850273,17301-1000135-5,Chaudhry Huma Ghani,"House 169, Street 18, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2021-03-16,2021,1045138,1088,Non-Filer,1740216,Rental
