cnic,registry_no,buyer_name,seller_name,property_address,property_value_pkr,transfer_date,area_marla,property_type
52445-3530829-7,REGY-668863,Chaudhry Jeffrey Miller,Laura Stafford,"House 75, Johar Town, Lahore",5312655,2024-01-10,15,House
57931-1973060-9,REGY-776095,Monica Taylor,Matthew Rivera,"Plot 39, DHA, Rawalpindi",11303706,2024-07-07,10,Commercial
64810-2171979-4,REGY-789519,C. Herrera,Sara Harris,"House 565, Gulberg, Lahore",13616714,2023-03-19,15,Apartment
84115-3077052-4,REGY-551237,Mr. Eric Kaiser,William Norman,"House 591, Johar Town, Rawalpindi",6851897,2023-05-28,20,Commercial
16499-4709137-1,REGY-728640,J. Villarreal Jr.,Matthew Maldonado,"Plot 297, Gulberg, Karachi",7406824,2021-04-18,15,House
80868-2976225-5,REGY-572568,Natasha A. Farmer,Tara Knight,"Plot 106, Johar Town, Karachi",66328144,2024-02-17,15,Commercial
58810-2634613-9,REGY-817019,Valerie A. Baker,Zachary Hopkins,"House 578, DHA, Karachi",10666647,2021-11-21,15,Apartment
75066-9920785-7,REGY-441629,Chaudhry Mrs. Taylor Evans,Paul Cardenas,"Flat 477, Johar Town, Rawalpindi",9715735,2020-02-07,10,Apartment
57393-6029255-4,REGY-136779,Mr. A. Nichols,Joel Huff,"Plot 716, Bahria Town, Lahore",6257534,2024-04-19,20,Apartment
85290-6037344-9,REGY-634025,Chaudhry Joel Miller,Adriana Collins,"Kothi 897, Model Town, Rawalpindi",12792935,2021-03-15,5,Apartment
47740-2228106-2,REGY-699995,Mr. David Cortez,Megan Lopez,"Kothi 169, Model Town, Karachi",11108128,2025-02-21,5,Apartment
74089-8074924-1,REGY-837795,Jonathan Warren MD,Christine Mcdowell,"House 783, Johar Town, Islamabad",4883912,2023-08-11,20,House
54580-6875018-8,REGY-731926,Chaudhry Ricky Bailey,Rachael Benson,"Kothi 71, DHA, Islamabad",4009247,2025-02-18,20,Plot
72141-2090518-1,REGY-229564,Brandon A. Cruz,Brandy Klein,"Flat 663, Johar Town, Rawalpindi",5216602,2020-11-24,15,Commercial
47302-7472506-6,REGY-732545,Erin Mccall,Kyle Ford,"House 964, Gulberg, Islamabad",10107458,2023-09-17,10,Plot
32026-2964541-8,REGY-210683,Chaudhry Brittany Bean,Loretta Young,"House 224, Model Town, Karachi",2362832,2023-08-11,5,Plot
42455-7675615-7,REGY-116193,Joshua King,Michael Moran,"Kothi 83, Bahria Town, Rawalpindi",22985806,2025-02-27,10,Plot
62644-5661367-3,REGY-439867,J. Russo,Jennifer Velasquez,"Kothi 885, Johar Town, Islamabad",10835709,2023-10-01,20,Commercial
64433-7019181-7,REGY-180790,Mr. James Wheeler,Nathaniel Long,"Plot 155, DHA, Karachi",23865567,2024-07-24,20,House
29830-4891590-4,REGY-792734,Chaudhry Thomas Lopez,Jennifer Lane,"House 497, Johar Town, Karachi",4184550,2025-09-04,10,Plot
44438-5730012-1,REGY-654814,J. Ward,Sara Hill,"Plot 430, Johar Town, Islamabad",10426296,2022-08-12,10,Commercial
89929-6345416-3,REGY-669144,J. Stafford,Nicholas Morris,"House 468, Johar Town, Rawalpindi",19067036,2021-06-05,10,Commercial
62175-7693754-7,REGY-690879,J. Jones,Amber Vega,"House 494, Gulberg, Lahore",2760931,2025-06-18,15,Apartment
34983-2129905-4,REGY-505133,Chaudhry David Cannon,Rebecca Palmer,"Kothi 167, DHA, Islamabad",7487661,2025-02-02,10,Plot
88738-1882072-2,REGY-762260,Omar Sutton,Susan Fernandez,"House 581, Bahria Town, Lahore",2879280,2021-09-10,10,Commercial
57659-1427833-2,REGY-605631,Madeline Brown,Amber Horne,"Plot 629, Gulberg, Karachi",3243115,2022-07-28,15,Apartment
93153-5232182-6,REGY-161050,Chaudhry Christopher Craig,Anthony Trevino,"Flat 486, DHA, Lahore",4496874,2023-12-16,5,Apartment
73972-8818005-8,REGY-639218,T. Hughes,Marie Jordan,"Kothi 320, DHA, Karachi",2785096,2021-12-23,5,Apartment
23393-6748475-5,REGY-237621,John A. Prince,Philip Cantu,"Kothi 849, Bahria Town, Lahore",20812203,2023-04-21,5,Commercial
36897-9862688-6,REGY-848582,M. Robinson,Rebecca Allen,"Plot 707, Johar Town, Lahore",21167630,2022-08-18,15,Commercial
79220-6001115-2,REGY-913787,Chaudhry Jeanne Rodriguez,Kathryn Lin,"Flat 531, Model Town, Karachi",5548881,2024-12-05,15,Commercial
56621-4737842-9,REGY-847414,Chaudhry Michelle Bradley,Robert Harper,"Flat 652, Bahria Town, Karachi",7482983,2024-06-01,15,Commercial
41377-7722368-4,REGY-178737,Chaudhry Sheila Porter,Elizabeth Gibson,"Plot 531, Gulberg, Islamabad",11170358,2020-04-18,10,Plot
13798-1468706-5,REGY-520686,Mr. Bruce Peterson II,Joe Dixon,"Kothi 266, Bahria Town, Islamabad",5383290,2024-08-09,5,Commercial
68619-6863966-6,REGY-711286,Chaudhry Mary Smith,Victoria Cook,"House 226, DHA, Karachi",4356541,2024-03-18,10,Apartment
71614-4300181-6,REGY-359045,Mr. Christina Williams,Derrick Andrews,"Plot 495, Johar Town, Lahore",3783387,2023-02-24,5,House
72845-6771478-2,REGY-134986,H. Kidd,Gregory Miller,"House 932, Gulberg, Karachi",11316686,2021-12-20,10,Plot
72656-3995097-7,REGY-437762,H. Banks,Ms. Kelly Wilson,"Flat 89, Gulberg, Rawalpindi",4354576,2021-10-04,5,Commercial
62610-2424708-3,REGY-498589,J. Christensen,Brian Smith,"Plot 131, DHA, Karachi",15942530,2020-12-15,20,Apartment
87438-8807342-3,REGY-699099,Mr. Justin Rogers,Katie Brady,"Kothi 674, Model Town, Karachi",8986771,2022-12-08,10,House
81913-3197544-1,REGY-563438,L. Schroeder,Stephen Garner,"House 819, DHA, Karachi",5529048,2021-05-20,15,House
66860-4268292-4,REGY-140609,Joseph A. Adkins,Jason Simpson,"House 258, Bahria Town, Islamabad",5452339,2022-07-19,20,Commercial
75688-5035581-6,REGY-371017,Lindsey A. Holt,Eric Mcbride,"Flat 558, Gulberg, Karachi",4931227,2025-07-07,15,House
17982-6935510-8,REGY-627854,Christine Barton,Robin Davidson,"Kothi 847, Johar Town, Karachi",19246950,2022-03-16,15,Apartment
79707-3547391-9,REGY-382051,Mr. Madeline Torres,Melanie Sanchez,"House 894, Gulberg, Karachi",10083121,2025-12-21,5,Plot
89764-1065976-3,REGY-307563,S. Holland,Mary Olson,"Plot 145, Gulberg, Lahore",9644640,2024-06-27,20,Plot
82938-2036081-6,REGY-865383,C. Thomas,Katie Garcia,"Kothi 804, DHA, Lahore",7050616,2024-06-03,5,Plot
42570-4209584-5,REGY-758958,Nicholas Baker,Sherry Allison,"House 791, DHA, Rawalpindi",6304058,2025-03-01,15,House
83626-1467509-2,REGY-496684,Virginia A. Chaney,Peter Schneider,"Kothi 334, Johar Town, Karachi",7282293,2025-10-15,20,Apartment
46331-8589103-9,REGY-973012,Chaudhry Andre Carter,Jake Jones,"Kothi 520, Bahria Town, Islamabad",11587040,2024-04-08,10,Apartment
83336-4398871-8,REGY-221488,Stephanie A. Moody,Rick Wu,"Plot 427, DHA, Rawalpindi",17798301,2021-03-11,5,Commercial
67949-6301261-2,REGY-938246,Adam Prince,Aaron Thomas,"Plot 439, DHA, Karachi",2261294,2023-10-23,15,House
97749-6079806-2,REGY-125359,Lindsay A. Welch,Cory Parker,"Plot 963, Model Town, Karachi",4778951,2022-11-26,20,Plot
43175-3302750-8,REGY-724891,Mr. Michael Austin,Edward Smith,"Plot 765, DHA, Rawalpindi",9019077,2022-09-25,15,Plot
73866-3731249-4,REGY-992111,Michael Murray,Luke Roberts,"Plot 724, Gulberg, Rawalpindi",8180214,2020-08-08,10,Plot
54448-8067846-4,REGY-582990,S. Preston,Richard Drake MD,"Flat 327, DHA, Islamabad",7186991,2024-06-11,5,House
12553-6670358-9,REGY-992093,Jacob A. Mcconnell,Matthew Chaney,"Kothi 452, DHA, Rawalpindi",2970256,2022-10-16,5,House
