travel_id,cnic,passenger_name,address,city,province,date,passport_no,travel_type,destination_country,airline,ticket_cost_pkr,hotel_cost_pkr,total_travel_cost_pkr
TRV-2023-470394,17301-1001447-9,Umer Farooq,"House 614, Street 16, Wapda Town, Gujranwala",Gujranwala,Punjab,2023-08-10,PK5575906,International,Bangkok,Qatar Airways,206604,367153,573757
TRV-2017-158278,17301-1001447-9,U. Farooq,"House 614, Street 16, Wapda Town, Gujranwala",Gujranwala,Punjab,2017-12-16,PK1634842,Business,Bangkok,Saudia,249825,761577,1011402
TRV-2018-259955,17301-1001447-9,Umer Farooq,"House 614, Street 16, Wapda Town, Gujranwala",Gujranwala,Punjab,2018-04-12,AB7400758,Umrah,Jeddah,PIA,369312,315605,684917
TRV-2022-231939,17301-1000862-4,Muneeb Akhtar Sahib,"House 133, Street 18, Warsak Road, Peshawar",Peshawar,KPK,2022-10-30,CD4563460,International,Kuala Lumpur,Qatar Airways,156924,332337,489261
TRV-2017-528600,33100-1000499-3,Chaudhry Sana Iqbal,"House 910, Street 28, Model Town, Lahore",Lahore,Punjab,2017-08-05,PK9087036,Tourism,Kuala Lumpur,Airblue,794775,1464895,2259670
TRV-2019-721917,17301-1000196-2,T. Hussain,"House 835, Street 21, Gulgasht, Multan",Multan,Punjab,2019-11-19,XY8506302,Family Visit,Istanbul,Turkish Airlines,444703,1122156,1566859
TRV-2022-228690,45501-1001417-9,M. Tariq,"House 477, Street 20, Rohri, Sukkur",Sukkur,Sindh,2022-07-08,PK6757565,International,Bangkok,Qatar Airways,832207,380445,1212652
TRV-2022-877625,33100-1001496-2,Mariam Malik,"House 285, Street 6, DHA Phase 5, Lahore",Lahore,Punjab,2022-08-27,CD9540248,Umrah,Doha,Qatar Airways,567469,144491,711960
TRV-2025-715369,17301-1000492-4,Chaudhry Ali Raza,"House 583, Street 1, Military Road, Sukkur",Sukkur,Sindh,2025-08-31,AB9673276,International,Dubai,Saudia,397014,592060,989074
TRV-2021-842452,42101-1000148-6,F. Ali,"House 210, Street 17, Hayatabad, Peshawar",Peshawar,KPK,2021-02-07,AB1764321,International,Dubai,Turkish Airlines,106002,1130367,1236369
TRV-2017-696584,33100-1001243-1,Kashif Javed,"House 836, Street 14, Hussainabad, Hyderabad",Hyderabad,Sindh,2017-09-21,AB5902594,International,Istanbul,Qatar Airways,515673,729798,1245471
TRV-2025-301595,45501-1000560-0,Waseem Akram,"House 647, Street 14, Gulbahar, Peshawar",Peshawar,KPK,2025-08-20,XY9201507,International,Kuala Lumpur,Qatar Airways,727351,1193491,1920842
TRV-2025-838989,54400-1001979-3,Rabia Noor Sahib,"House 304, Street 5, DHA Multan, Multan",Multan,Punjab,2025-05-17,CD2890269,Business,Doha,Qatar Airways,724053,1236557,1960610
TRV-2025-331888,45501-1000768-6,Shazia Butt,"House 351, Street 19, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2025-06-27,AB9267629,International,Istanbul,Turkish Airlines,420730,1370844,1791574
TRV-2018-309038,42101-1000918-6,Fatima Ali,"House 496, Street 24, Gulberg, Faisalabad",Faisalabad,Punjab,2018-03-29,AB8664084,Tourism,Kuala Lumpur,Emirates,621180,1317627,1938807
TRV-2019-860944,33100-1000906-2,Naveed Raza,"House 92, Street 9, People Colony, Faisalabad",Faisalabad,Punjab,2019-06-28,CD8676680,Umrah,Baku,Saudia,576500,316189,892689
TRV-2024-984430,17301-1001619-3,Chaudhry Sana Iqbal,"House 619, Street 34, PWD, Rawalpindi",Rawalpindi,Punjab,2024-11-11,AB3455219,Family Visit,Dubai,PIA,653545,217360,870905
TRV-2023-649076,17301-1001717-9,Ali Raza Sahib,"House 527, Street 21, Clifton, Karachi",Karachi,Sindh,2023-03-20,PK7106923,Tourism,Jeddah,Qatar Airways,173205,1477652,1650857
TRV-2023-402450,45501-1001475-5,Usman Malik,"House 79, Street 28, Madina Town, Faisalabad",Faisalabad,Punjab,2023-07-31,XY8560366,Business,Baku,Qatar Airways,240082,128119,368201
TRV-2026-963055,54400-1001576-2,Muhammad Ahmed,"House 13, Street 28, Military Road, Sukkur",Sukkur,Sindh,2026-02-28,AB1227520,International,Baku,SereneAir,124987,1498453,1623440
TRV-2020-790018,54400-1001576-2,Muhammad Ahmed,"House 13, Street 28, Military Road, Sukkur",Sukkur,Sindh,2020-11-08,AB5418367,Tourism,Riyadh,Qatar Airways,584568,606661,1191229
TRV-2025-837322,54400-1001576-2,Muhammad Ahmed,"House 13, Street 28, Military Road, Sukkur",Sukkur,Sindh,2025-06-09,XY9419513,Tourism,Riyadh,Turkish Airlines,598392,1353380,1951772
TRV-2023-912464,35202-1000836-2,N. Raza,"House 296, Street 6, DHA Phase 2, Islamabad",Islamabad,Islamabad,2023-09-25,CD6792070,Family Visit,Abu Dhabi,Turkish Airlines,91312,530255,621567
TRV-2022-449142,54400-1001270-0,Z. Ahmed,"House 338, Street 2, Johar Town, Lahore",Lahore,Punjab,2022-04-06,XY1436392,Business,Istanbul,SereneAir,470150,912884,1383034
TRV-2026-134519,17301-1001747-9,Khalid Malik,"House 167, Street 4, Samungli Road, Quetta",Quetta,Balochistan,2026-09-10,PK4829927,Family Visit,Doha,Turkish Airlines,661584,860639,1522223
TRV-2016-207510,61101-1000372-4,Chaudhry Muneeb Akhtar,"House 339, Street 7, Model Town, Lahore",Lahore,Punjab,2016-08-01,CD6538203,Umrah,London,PIA,365995,1213042,1579037
TRV-2024-854489,61101-1000372-4,Chaudhry Muneeb Akhtar,"House 339, Street 7, Model Town, Lahore",Lahore,Punjab,2024-02-26,AB5442367,Business,Baku,Airblue,665086,746304,1411390
TRV-2021-119285,61101-1000372-4,M. Akhtar,"House 339, Street 7, Model Town, Lahore",Lahore,Punjab,2021-06-09,AB2244476,Umrah,Jeddah,Emirates,608345,1237997,1846342
TRV-2022-430174,35202-1000672-4,Ayesha Khan,"House 393, Street 28, PWD, Rawalpindi",Rawalpindi,Punjab,2022-08-28,XY6298755,Umrah,Dubai,SereneAir,161415,944810,1106225
TRV-2024-324968,61101-1001249-3,L. Khan,"House 634, Street 1, Gulberg, Faisalabad",Faisalabad,Punjab,2024-09-17,CD6227467,Tourism,Riyadh,Qatar Airways,899652,589318,1488970
TRV-2019-700915,61101-1000925-5,D. Butt,"House 667, Street 8, DHA Multan, Multan",Multan,Punjab,2019-03-26,XY8585771,Business,Abu Dhabi,Turkish Airlines,851379,867278,1718657
TRV-2018-705139,45501-1001256-2,Chaudhry Naveed Raza,"House 447, Street 29, Latifabad, Hyderabad",Hyderabad,Sindh,2018-01-14,PK6078890,Business,Baku,Qatar Airways,217398,1338144,1555542
TRV-2017-481524,45501-1001256-2,Naveed Raza,"House 447, Street 29, Latifabad, Hyderabad",Hyderabad,Sindh,2017-07-22,AB4408701,Umrah,Riyadh,Emirates,224263,653948,878211
